ボールドマーカーを使うのです,ボールド
ボールドマーカーネオを使うのです,ボルネオ
ボールドマーカー7を使うのです,ボルシチ
シャープマーカー,シャプマ
シャープマーカーネオ,シマネ
プロモデラーRG,金モデ
プロモデラーMG,銀モデ
プロモデラーPG,銅モデ
スプラシューター(ヒーローシューターレプリカ),スシ
スプラシューターコラボ(オクタシューター),スシコラ
スプラシューターベッチュー,スシチュー
わかばシューター,わかば
もみじシューター,もみじ
おちばシューター,おちば
N-ZAP89,赤ザップ
N-ZAP85,黒ザップ
N-ZAP83,ファミザップ
.52ガロン,52ガロン
.52ガロンデコ,52デコ
.52ガロンベッチュー,52ガロンチュー
.96ガロン,96ガロン
.96ガロンデコ,96デコ
プライムシューター,プライム
プライムシューターコラボ,プラコラ
プライムシューターベッチュー,プラベ
ボトルカイザー,ボトル
ボトルカイザーフォイル,ボルフォイ
ジェットスイーパー,ジェッスイ
ジェットスイーパーカスタム,ジェッカス
L3リールガン,L3
L3リールガンD,L3D
L3リールガンベッチュー,L3ベッチュー
H3リールガン,H3
H3リールガンD,H3D
H3リールガンチェリー,H3チェリー
